ttM,uM,fBT,hp,tcM,startR,branch,BvR_T,BvR_Tstd,BvR_Cq%,BvR_Cs%,BvR_Tb%,SvA_T,SvA_WR%,SvR_T,SvR_WR%,WvR_T,WvR_WR%
10,8,10,2000,3.0,30,30,82.1,52.8,49,42,9,93.5,67.5,90.0,82.5,70.3,50.0
10,8,10,2000,3.0,30,33,70.2,36.0,38,59,4,99.8,87.5,96.0,86.2,75.7,65.0
10,8,10,2000,3.0,30,36,79.6,53.1,39,52,9,107.0,80.0,100.7,88.8,78.6,47.5
10,8,10,2000,3.0,30,40,69.7,30.8,44,54,2,104.5,85.0,102.1,80.0,80.9,68.8
10,8,10,2000,3.0,35,30,69.6,42.7,51,44,5,93.8,62.5,72.5,51.2,60.9,27.5
10,8,10,2000,3.0,35,33,65.2,38.0,44,52,4,95.5,66.2,88.7,62.5,64.5,40.0
10,8,10,2000,3.0,35,36,65.1,38.0,41,55,4,98.1,78.8,99.4,77.5,65.2,45.0
10,8,10,2000,3.0,35,40,61.1,10.3,51,49,0,81.3,86.2,74.4,83.8,71.7,50.0
10,8,10,2000,3.0,40,30,70.7,31.3,51,46,2,97.0,76.2,90.0,68.8,70.6,60.0
10,8,10,2000,3.0,40,33,85.0,59.0,45,44,11,100.9,77.5,89.0,78.8,71.4,65.0
10,8,10,2000,3.0,40,36,74.1,45.9,41,52,6,101.5,92.5,96.5,77.5,71.5,72.5
10,8,10,2000,3.0,40,40,72.3,35.9,56,40,4,100.4,76.2,99.3,77.5,77.5,67.5
10,8,10,2000,3.0,45,30,54.5,24.3,28,71,1,95.1,73.8,63.6,28.7,54.0,16.2
10,8,10,2000,3.0,45,33,53.7,24.6,21,78,1,100.1,75.0,73.6,46.2,53.0,17.5
10,8,10,2000,3.0,45,36,55.9,32.6,24,74,2,55.4,96.2,48.3,92.5,56.4,21.2
10,8,10,2000,3.0,45,40,61.1,44.4,24,71,5,58.7,97.5,51.0,85.0,58.3,23.8
