ttM,uM,fBT,hp,tcM,startR,branch,BvR_T,BvR_Cq%,BvR_Cs%,BvR_Tb%,SvA_T,SvA_WR%,SvR_T,SvR_WR%,WvR_T,WvR_WR%
10,8,10,1500,3,30,25,57.2,60,40,0,68.6,30.0,78.9,56.7,60.4,50.0
10,8,10,1500,3,30,30,57.1,60,40,0,86.2,60.0,83.4,70.0,59.2,66.7
10,8,10,1500,3,30,35,65.2,63,33,3,89.5,73.3,109.3,86.7,72.1,63.3
10,8,10,1500,3,30,40,57.2,57,43,0,88.9,60.0,104.1,80.0,59.9,80.0
10,8,10,1500,3,40,25,58.8,77,23,0,79.1,53.3,76.6,60.0,57.4,56.7
10,8,10,1500,3,40,30,55.9,63,37,0,81.0,76.7,86.9,63.3,63.2,60.0
10,8,10,1500,3,40,35,55.7,60,40,0,80.2,63.3,83.4,80.0,67.2,80.0
10,8,10,1500,3,40,40,56.0,73,27,0,92.2,66.7,125.1,83.3,63.8,73.3
10,8,10,1500,3,50,25,46.2,10,90,0,71.8,56.7,55.0,30.0,46.3,3.3
10,8,10,1500,3,50,30,46.0,0,100,0,80.2,66.7,54.5,23.3,46.8,6.7
10,8,10,1500,3,50,35,45.3,3,97,0,45.4,96.7,46.6,93.3,50.9,23.3
10,8,10,1500,3,50,40,45.3,3,97,0,45.8,93.3,49.4,93.3,49.9,20.0
10,8,10,1500,4,30,25,58.4,100,0,0,85.2,46.7,79.0,76.7,69.2,86.7
10,8,10,1500,4,30,30,58.8,97,3,0,90.3,60.0,86.1,83.3,68.1,90.0
10,8,10,1500,4,30,35,58.9,93,7,0,82.8,70.0,88.0,86.7,73.9,96.7
10,8,10,1500,4,30,40,58.5,100,0,0,79.3,56.7,98.8,83.3,84.5,90.0
10,8,10,1500,4,40,25,57.4,77,23,0,72.0,40.0,76.8,66.7,62.9,50.0
10,8,10,1500,4,40,30,57.3,70,30,0,79.8,63.3,94.4,76.7,65.2,66.7
10,8,10,1500,4,40,35,57.2,77,23,0,88.2,90.0,82.5,66.7,74.5,83.3
10,8,10,1500,4,40,40,65.4,67,30,3,82.0,73.3,79.0,73.3,69.8,90.0
10,8,10,1500,4,50,25,56.3,87,13,0,75.4,66.7,74.7,46.7,62.8,60.0
10,8,10,1500,4,50,30,56.2,93,7,0,82.7,76.7,83.6,90.0,63.6,76.7
10,8,10,1500,4,50,35,56.0,77,23,0,78.8,70.0,80.3,86.7,63.3,83.3
10,8,10,1500,4,50,40,56.3,97,3,0,86.0,63.3,82.0,83.3,64.3,90.0
10,8,10,1500,5,30,25,59.4,100,0,0,80.8,56.7,77.1,70.0,70.6,80.0
10,8,10,1500,5,30,30,59.9,100,0,0,72.5,53.3,84.6,86.7,70.3,96.7
10,8,10,1500,5,30,35,59.7,100,0,0,89.4,83.3,84.1,96.7,63.5,100.0
10,8,10,1500,5,30,40,59.2,100,0,0,81.8,46.7,121.9,86.7,85.1,90.0
10,8,10,1500,5,40,25,66.3,97,0,3,78.5,13.3,70.9,76.7,61.3,90.0
10,8,10,1500,5,40,30,58.3,100,0,0,83.5,73.3,84.8,86.7,63.3,96.7
10,8,10,1500,5,40,35,66.3,97,0,3,79.6,60.0,103.9,86.7,68.6,90.0
10,8,10,1500,5,40,40,66.2,97,0,3,84.5,63.3,105.4,83.3,83.0,90.0
10,8,10,1500,5,50,25,57.2,90,10,0,71.0,43.3,68.7,60.0,59.6,53.3
10,8,10,1500,5,50,30,65.4,90,7,3,84.8,76.7,77.8,76.7,70.7,86.7
10,8,10,1500,5,50,35,65.4,93,3,3,96.9,86.7,92.0,83.3,73.7,86.7
10,8,10,1500,5,50,40,73.9,87,7,7,84.5,66.7,88.8,96.7,70.7,96.7
10,8,10,2000,3,30,25,88.8,47,43,10,88.7,40.0,83.1,56.7,66.1,33.3
10,8,10,2000,3,30,30,62.6,37,63,0,99.5,66.7,97.7,73.3,67.0,50.0
10,8,10,2000,3,30,35,86.0,33,57,10,110.7,86.7,99.4,73.3,79.3,76.7
10,8,10,2000,3,30,40,73.5,60,37,3,105.6,70.0,97.1,93.3,92.0,63.3
10,8,10,2000,3,40,25,72.1,47,50,3,91.8,53.3,82.4,56.7,74.5,50.0
10,8,10,2000,3,40,30,85.9,40,50,10,91.6,70.0,86.6,60.0,72.4,60.0
10,8,10,2000,3,40,35,87.0,43,47,10,109.4,83.3,92.3,73.3,83.3,76.7
10,8,10,2000,3,40,40,71.8,40,57,3,105.5,80.0,117.8,73.3,67.9,63.3
10,8,10,2000,3,50,25,46.7,7,93,0,88.2,50.0,54.1,16.7,45.9,0.0
10,8,10,2000,3,50,30,47.2,0,100,0,92.4,66.7,69.4,23.3,51.1,13.3
